epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.825,2.01531,3.59411,2.297,0.1286,0.42142,0.21054,0.06432,2.51872,6.11665,2.70304,0.000272795,0.000272795,0.000272795
2,727.212,1.76189,2.6826,2.00937,0.18488,0.34202,0.18061,0.04834,2.5188,4.49366,2.64556,0.000532297,0.000532297,0.000532297
3,1090.85,1.7746,2.57717,2.02411,0.47366,0.30604,0.27376,0.08546,2.43982,6.95515,2.65378,0.000773472,0.000773472,0.000773472
4,1452.93,1.78843,2.48497,2.04908,0.23658,0.34235,0.25219,0.0779,2.42577,4.8303,2.69426,0.000750533,0.000750533,0.000750533
5,1815.73,1.74941,2.35224,2.0475,0.33353,0.31295,0.22138,0.07002,2.57879,4.41257,2.96648,0.000723044,0.000723044,0.000723044
6,2178.9,1.69868,2.2239,1.96834,0.40333,0.46168,0.34647,0.0939,2.50869,3.01881,2.73764,0.000695555,0.000695555,0.000695555
7,2540.85,1.7215,2.09156,1.97109,0.42907,0.45281,0.38112,0.12879,2.37438,3.1781,2.4771,0.000668066,0.000668066,0.000668066
8,2903.51,1.71212,2.12914,1.9777,0.38323,0.52477,0.43137,0.12755,2.46626,2.6485,2.55549,0.000640577,0.000640577,0.000640577
9,3265.99,1.67565,2.02026,1.93978,0.35838,0.44213,0.41609,0.11729,2.50349,2.7694,2.69002,0.000613088,0.000613088,0.000613088
10,3627.73,1.63353,1.99571,1.91555,0.49114,0.46998,0.45627,0.17083,2.33148,2.17684,2.39067,0.000585599,0.000585599,0.000585599
11,3989.22,1.6105,1.94358,1.91584,0.5537,0.4581,0.48792,0.13754,2.50261,2.10932,2.63569,0.00055811,0.00055811,0.00055811
12,4352.12,1.58487,1.85044,1.88111,0.49017,0.50902,0.46616,0.13506,2.53281,2.21105,2.64832,0.000530621,0.000530621,0.000530621
13,4716.23,1.58508,1.8171,1.90276,0.42971,0.41262,0.42926,0.11374,2.81607,2.34101,2.94639,0.000503132,0.000503132,0.000503132
14,5078.9,1.58135,1.80264,1.8926,0.47565,0.63742,0.56194,0.19342,2.43725,1.98806,2.46786,0.000475643,0.000475643,0.000475643
15,5438.88,1.53977,1.73799,1.84225,0.54084,0.61151,0.53325,0.15214,2.5007,2.05962,2.63953,0.000448154,0.000448154,0.000448154
16,5798.33,1.5118,1.68846,1.8326,0.61202,0.46305,0.52181,0.16319,2.53881,2.07604,2.64589,0.000420665,0.000420665,0.000420665
17,6159.98,1.50778,1.60978,1.83095,0.40694,0.59445,0.50449,0.15549,2.53226,2.11148,2.6536,0.000393176,0.000393176,0.000393176
18,6522.01,1.49611,1.61868,1.82166,0.57966,0.60277,0.58486,0.20344,2.28538,1.88971,2.35695,0.000365687,0.000365687,0.000365687
19,6882.12,1.45486,1.57942,1.799,0.52045,0.63718,0.54246,0.17758,2.38936,2.01692,2.53467,0.000338198,0.000338198,0.000338198
20,7245.35,1.4309,1.52683,1.74405,0.64585,0.52104,0.56553,0.19229,2.43344,1.95644,2.55318,0.000310709,0.000310709,0.000310709
21,7604.26,1.31062,1.10811,1.70572,0.59565,0.58541,0.59665,0.17709,2.49067,1.88029,2.51572,0.00028322,0.00028322,0.00028322
22,7962.67,1.27285,1.05639,1.69853,0.67405,0.55259,0.60419,0.21471,2.28875,1.94657,2.36425,0.000255731,0.000255731,0.000255731
23,8321.49,1.26301,1.00853,1.64881,0.6203,0.66516,0.61036,0.20841,2.36101,1.86447,2.4088,0.000228242,0.000228242,0.000228242
24,8680.32,1.21499,0.93128,1.62141,0.70659,0.64901,0.66653,0.21358,2.39235,1.87536,2.47957,0.000200753,0.000200753,0.000200753
25,9038.32,1.22981,0.92623,1.62168,0.71866,0.66932,0.63056,0.23786,2.21897,1.6829,2.28217,0.000173264,0.000173264,0.000173264
26,9396.91,1.14906,0.86794,1.57421,0.68344,0.68924,0.64514,0.23103,2.23906,1.76451,2.24104,0.000145775,0.000145775,0.000145775
27,9756,1.16743,0.8701,1.59041,0.73073,0.65891,0.6931,0.25934,2.14161,1.66028,2.18281,0.000118286,0.000118286,0.000118286
28,10114.5,1.10991,0.83733,1.55222,0.69959,0.65109,0.68111,0.2441,2.29107,1.73216,2.35812,9.0797e-05,9.0797e-05,9.0797e-05
29,10471.9,1.07546,0.80767,1.51057,0.7493,0.69144,0.72177,0.27728,2.14756,1.6307,2.20951,6.3308e-05,6.3308e-05,6.3308e-05
30,10832.8,1.07493,0.77962,1.51645,0.75467,0.69487,0.73249,0.28375,2.12037,1.63502,2.15708,3.5819e-05,3.5819e-05,3.5819e-05
